date,day_of_week,workingday,temp,casual,registered,total
2011-03-28,1,workday,0.264348,222,1806,2028
2011-03-29,2,workday,0.3025,317,2108,2425
2011-03-30,3,workday,0.3,168,1368,1536
2011-03-31,4,workday,0.268333,179,1506,1685
2011-04-01,5,workday,0.3,307,1920,2227
2011-04-02,6,weekend,0.315,898,1354,2252
2011-04-03,0,weekend,0.378333,1651,1598,3249
2011-04-04,1,workday,0.573333,734,2381,3115
2011-04-05,2,workday,0.414167,167,1628,1795
2011-04-06,3,workday,0.390833,413,2395,2808
2011-04-07,4,workday,0.4375,571,2570,3141
2011-04-08,5,workday,0.335833,172,1299,1471
2011-04-09,6,weekend,0.3425,879,1576,2455
2011-04-10,0,weekend,0.426667,1188,1707,2895
2011-04-11,1,workday,0.595652,855,2493,3348
2011-04-12,2,workday,0.5025,257,1777,2034
2011-04-13,3,workday,0.4125,209,1953,2162
2011-04-14,4,workday,0.4675,529,2738,3267
2011-04-15,5,weekend,0.446667,642,2484,3126
2011-04-16,6,weekend,0.430833,121,674,795
2011-04-17,0,weekend,0.456667,1558,2186,3744
2011-04-18,1,workday,0.5125,669,2760,3429
2011-04-19,2,workday,0.505833,409,2795,3204
2011-04-20,3,workday,0.595,613,3331,3944
2011-04-21,4,workday,0.459167,745,3444,4189
2011-04-22,5,workday,0.336667,177,1506,1683
2011-04-23,6,weekend,0.46,1462,2574,4036
2011-04-24,0,weekend,0.581667,1710,2481,4191
2011-04-25,1,workday,0.606667,773,3300,4073
2011-04-26,2,workday,0.631667,678,3722,4400
2011-04-27,3,workday,0.62,547,3325,3872
2011-04-28,4,workday,0.6175,569,3489,4058
2011-04-29,5,workday,0.51,878,3717,4595
2011-04-30,6,weekend,0.4725,1965,3347,5312
2011-05-01,0,weekend,0.451667,1138,2213,3351
2011-05-02,1,workday,0.549167,847,3554,4401
2011-05-03,2,workday,0.616667,603,3848,4451
2011-05-04,3,workday,0.414167,255,2378,2633
2011-05-05,4,workday,0.459167,614,3819,4433
2011-05-06,5,workday,0.479167,894,3714,4608
2011-05-07,6,weekend,0.52,1612,3102,4714
2011-05-08,0,weekend,0.528333,1401,2932,4333
2011-05-09,1,workday,0.5325,664,3698,4362
2011-05-10,2,workday,0.5325,694,4109,4803
2011-05-11,3,workday,0.5425,550,3632,4182
2011-05-12,4,workday,0.535,695,4169,4864
2011-05-13,5,workday,0.5125,692,3413,4105
2011-05-14,6,weekend,0.520833,902,2507,3409
2011-05-15,0,weekend,0.5625,1582,2971,4553
2011-05-16,1,workday,0.5775,773,3185,3958
2011-05-17,2,workday,0.561667,678,3445,4123
2011-05-18,3,workday,0.55,536,3319,3855
2011-05-19,4,workday,0.530833,735,3840,4575
2011-05-20,5,workday,0.536667,909,4008,4917
2011-05-21,6,weekend,0.6025,2258,3547,5805
2011-05-22,0,weekend,0.604167,1576,3084,4660
2011-05-23,1,workday,0.631667,836,3438,4274
2011-05-24,2,workday,0.66,659,3833,4492
2011-05-25,3,workday,0.660833,740,4238,4978
2011-05-26,4,workday,0.708333,758,3919,4677
2011-05-27,5,workday,0.681667,871,3808,4679
2011-05-28,6,weekend,0.655833,2001,2757,4758
2011-05-29,0,weekend,0.6675,2355,2433,4788
2011-05-30,1,weekend,0.733333,1549,2549,4098
2011-05-31,2,workday,0.775,673,3309,3982
2011-06-01,3,workday,0.764167,513,3461,3974
2011-06-02,4,workday,0.715,736,4232,4968
2011-06-03,5,workday,0.62,898,4414,5312
2011-06-04,6,weekend,0.635,1869,3473,5342
2011-06-05,0,weekend,0.648333,1685,3221,4906
2011-06-06,1,workday,0.678333,673,3875,4548
2011-06-07,2,workday,0.7075,763,4070,4833
2011-06-08,3,workday,0.775833,676,3725,4401
2011-06-09,4,workday,0.808333,563,3352,3915
2011-06-10,5,workday,0.755,815,3771,4586
2011-06-11,6,weekend,0.725,1729,3237,4966
2011-06-12,0,weekend,0.6925,1467,2993,4460
2011-06-13,1,workday,0.635,863,4157,5020
2011-06-14,2,workday,0.604167,727,4164,4891
2011-06-15,3,workday,0.626667,769,4411,5180
2011-06-16,4,workday,0.628333,545,3222,3767
2011-06-17,5,workday,0.649167,863,3981,4844
2011-06-18,6,weekend,0.696667,1807,3312,5119
2011-06-19,0,weekend,0.699167,1639,3105,4744
2011-06-20,1,workday,0.635,699,3311,4010
2011-06-21,2,workday,0.680833,774,4061,4835
2011-06-22,3,workday,0.733333,661,3846,4507
2011-06-23,4,workday,0.728333,746,4044,4790
2011-06-24,5,workday,0.724167,969,4022,4991
2011-06-25,6,weekend,0.695,1782,3420,5202
2011-06-26,0,weekend,0.68,1920,3385,5305
2011-06-27,1,workday,0.6825,854,3854,4708
2011-06-28,2,workday,0.744167,732,3916,4648
2011-06-29,3,workday,0.728333,848,4377,5225
2011-06-30,4,workday,0.696667,1027,4488,5515
2011-07-01,5,workday,0.7225,1246,4116,5362
2011-07-02,6,weekend,0.738333,2204,2915,5119
2011-07-03,0,weekend,0.716667,2282,2367,4649
2011-07-04,1,weekend,0.726667,3065,2978,6043
2011-07-05,2,workday,0.746667,1031,3634,4665
2011-07-06,3,workday,0.72,784,3845,4629
2011-07-07,4,workday,0.75,754,3838,4592
2011-07-08,5,workday,0.709167,692,3348,4040
2011-07-09,6,weekend,0.733333,1988,3348,5336
2011-07-10,0,weekend,0.7475,1743,3138,4881
2011-07-11,1,workday,0.7625,723,3363,4086
2011-07-12,2,workday,0.794167,662,3596,4258
2011-07-13,3,workday,0.746667,748,3594,4342
2011-07-14,4,workday,0.680833,888,4196,5084
2011-07-15,5,workday,0.663333,1318,4220,5538
2011-07-16,6,weekend,0.686667,2418,3505,5923
2011-07-17,0,weekend,0.719167,2006,3296,5302
2011-07-18,1,workday,0.746667,841,3617,4458
2011-07-19,2,workday,0.776667,752,3789,4541
2011-07-20,3,workday,0.768333,644,3688,4332
2011-07-21,4,workday,0.815,632,3152,3784
2011-07-22,5,workday,0.848333,562,2825,3387
2011-07-23,6,weekend,0.849167,987,2298,3285
2011-07-24,0,weekend,0.83,1050,2556,3606
2011-07-25,1,workday,0.743333,568,3272,3840
2011-07-26,2,workday,0.771667,750,3840,4590
2011-07-27,3,workday,0.775,755,3901,4656
2011-07-28,4,workday,0.779167,606,3784,4390
2011-07-29,5,workday,0.838333,670,3176,3846
2011-07-30,6,weekend,0.804167,1559,2916,4475
2011-07-31,0,weekend,0.805833,1524,2778,4302
2011-08-01,1,workday,0.771667,729,3537,4266
2011-08-02,2,workday,0.783333,801,4044,4845
2011-08-03,3,workday,0.731667,467,3107,3574
2011-08-04,4,workday,0.71,799,3777,4576
2011-08-05,5,workday,0.710833,1023,3843,4866
2011-08-06,6,weekend,0.716667,1521,2773,4294
2011-08-07,0,weekend,0.7425,1298,2487,3785
2011-08-08,1,workday,0.765,846,3480,4326
2011-08-09,2,workday,0.775,907,3695,4602
2011-08-10,3,workday,0.766667,884,3896,4780
2011-08-11,4,workday,0.7175,812,3980,4792
2011-08-12,5,workday,0.708333,1051,3854,4905
2011-08-13,6,weekend,0.685833,1504,2646,4150
2011-08-14,0,weekend,0.676667,1338,2482,3820
2011-08-15,1,workday,0.665833,775,3563,4338
2011-08-16,2,workday,0.700833,721,4004,4725
2011-08-17,3,workday,0.723333,668,4026,4694
2011-08-18,4,workday,0.711667,639,3166,3805
2011-08-19,5,workday,0.685,797,3356,4153
2011-08-20,6,weekend,0.6975,1914,3277,5191
2011-08-21,0,weekend,0.710833,1249,2624,3873
2011-08-22,1,workday,0.691667,833,3925,4758
2011-08-23,2,workday,0.640833,1281,4614,5895
2011-08-24,3,workday,0.673333,949,4181,5130
2011-08-25,4,workday,0.684167,435,3107,3542
2011-08-26,5,workday,0.7,768,3893,4661
2011-08-27,6,weekend,0.68,226,889,1115
2011-08-28,0,weekend,0.707059,1415,2919,4334
2011-08-29,1,workday,0.636667,729,3905,4634
2011-08-30,2,workday,0.639167,775,4429,5204
2011-08-31,3,workday,0.656667,688,4370,5058
2011-09-01,4,workday,0.655,783,4332,5115
2011-09-02,5,workday,0.643333,875,3852,4727
2011-09-03,6,weekend,0.669167,1935,2549,4484
2011-09-04,0,weekend,0.709167,2521,2419,4940
2011-09-05,1,weekend,0.673333,1236,2115,3351
2011-09-06,2,workday,0.54,204,2506,2710
2011-09-07,3,workday,0.599167,118,1878,1996
2011-09-08,4,workday,0.633913,153,1689,1842
2011-09-09,5,workday,0.65,417,3127,3544
2011-09-10,6,weekend,0.66,1750,3595,5345
2011-09-11,0,weekend,0.653333,1633,3413,5046
2011-09-12,1,workday,0.644348,690,4023,4713
2011-09-13,2,workday,0.650833,701,4062,4763
2011-09-14,3,workday,0.673333,647,4138,4785
2011-09-15,4,workday,0.5775,428,3231,3659
2011-09-16,5,workday,0.469167,742,4018,4760
2011-09-17,6,weekend,0.491667,1434,3077,4511
2011-09-18,0,weekend,0.5075,1353,2921,4274
2011-09-19,1,workday,0.549167,691,3848,4539
2011-09-20,2,workday,0.561667,438,3203,3641
2011-09-21,3,workday,0.595,539,3813,4352
2011-09-22,4,workday,0.628333,555,4240,4795
2011-09-23,5,workday,0.609167,258,2137,2395
2011-09-24,6,weekend,0.606667,1776,3647,5423
2011-09-25,0,weekend,0.634167,1544,3466,5010
2011-09-26,1,workday,0.649167,684,3946,4630
2011-09-27,2,workday,0.636667,477,3643,4120
2011-09-28,3,workday,0.635,480,3427,3907
2011-09-29,4,workday,0.616667,653,4186,4839
2011-09-30,5,workday,0.564167,830,4372,5202
2011-10-01,6,weekend,0.41,480,1949,2429
2011-10-02,0,weekend,0.356667,616,2302,2918
2011-10-03,1,workday,0.384167,330,3240,3570
2011-10-04,2,workday,0.484167,486,3970,4456
2011-10-05,3,workday,0.538333,559,4267,4826
2011-10-06,4,workday,0.494167,639,4126,4765
2011-10-07,5,workday,0.510833,949,4036,4985
2011-10-08,6,weekend,0.521667,2235,3174,5409
2011-10-09,0,weekend,0.540833,2397,3114,5511
2011-10-10,1,weekend,0.570833,1514,3603,5117
2011-10-11,2,workday,0.566667,667,3896,4563
2011-10-12,3,workday,0.543333,217,2199,2416
2011-10-13,4,workday,0.589167,290,2623,2913
2011-10-14,5,workday,0.550833,529,3115,3644
2011-10-15,6,weekend,0.506667,1899,3318,5217
2011-10-16,0,weekend,0.511667,1748,3293,5041
2011-10-17,1,workday,0.534167,713,3857,4570
2011-10-18,2,workday,0.5325,637,4111,4748
2011-10-19,3,workday,0.541739,254,2170,2424
2011-10-20,4,workday,0.475833,471,3724,4195
2011-10-21,5,workday,0.4275,676,3628,4304
2011-10-22,6,weekend,0.4225,1499,2809,4308
2011-10-23,0,weekend,0.421667,1619,2762,4381
2011-10-24,1,workday,0.463333,699,3488,4187
2011-10-25,2,workday,0.471667,695,3992,4687
2011-10-26,3,workday,0.484167,404,3490,3894
2011-10-27,4,workday,0.47,240,2419,2659
2011-10-28,5,workday,0.330833,456,3291,3747
2011-10-29,6,weekend,0.254167,57,570,627
2011-10-30,0,weekend,0.319167,885,2446,3331
2011-10-31,1,workday,0.34,362,3307,3669
2011-11-01,2,workday,0.400833,410,3658,4068
2011-11-02,3,workday,0.3775,370,3816,4186
2011-11-03,4,workday,0.408333,318,3656,3974
2011-11-04,5,workday,0.403333,470,3576,4046
2011-11-05,6,weekend,0.326667,1156,2770,3926
2011-11-06,0,weekend,0.348333,952,2697,3649
2011-11-07,1,workday,0.395,373,3662,4035
2011-11-08,2,workday,0.408333,376,3829,4205
2011-11-09,3,workday,0.4,305,3804,4109
2011-11-10,4,workday,0.38,190,2743,2933
2011-11-11,5,weekend,0.324167,440,2928,3368
2011-11-12,6,weekend,0.356667,1275,2792,4067
2011-11-13,0,weekend,0.440833,1004,2713,3717
2011-11-14,1,workday,0.53,595,3891,4486
2011-11-15,2,workday,0.53,449,3746,4195
2011-11-16,3,workday,0.456667,145,1672,1817
2011-11-17,4,workday,0.341667,139,2914,3053
2011-11-18,5,workday,0.274167,245,3147,3392
2011-11-19,6,weekend,0.329167,943,2720,3663
2011-11-20,0,weekend,0.463333,787,2733,3520
2011-11-21,1,workday,0.4475,220,2545,2765
2011-11-22,2,workday,0.416667,69,1538,1607
2011-11-23,3,workday,0.440833,112,2454,2566
2011-11-24,4,weekend,0.373333,560,935,1495
2011-11-25,5,workday,0.375,1095,1697,2792
2011-11-26,6,weekend,0.375833,1249,1819,3068
2011-11-27,0,weekend,0.459167,810,2261,3071
2011-11-28,1,workday,0.503478,253,3614,3867
2011-11-29,2,workday,0.458333,96,2818,2914
2011-11-30,3,workday,0.325,188,3425,3613
2011-12-01,4,workday,0.3125,182,3545,3727
2011-12-02,5,workday,0.314167,268,3672,3940
2011-12-03,6,weekend,0.299167,706,2908,3614
2011-12-04,0,weekend,0.330833,634,2851,3485
2011-12-05,1,workday,0.385833,233,3578,3811
2011-12-06,2,workday,0.4625,126,2468,2594
2011-12-07,3,workday,0.41,50,655,705
2011-12-08,4,workday,0.265833,150,3172,3322
2011-12-09,5,workday,0.290833,261,3359,3620
2011-12-10,6,weekend,0.275,502,2688,3190
2011-12-11,0,weekend,0.220833,377,2366,2743
2011-12-12,1,workday,0.238333,143,3167,3310
2011-12-13,2,workday,0.2825,155,3368,3523
2011-12-14,3,workday,0.3175,178,3562,3740
2011-12-15,4,workday,0.4225,181,3528,3709
2011-12-16,5,workday,0.375,178,3399,3577
2011-12-17,6,weekend,0.258333,275,2464,2739
2011-12-18,0,weekend,0.238333,220,2211,2431
2011-12-19,1,workday,0.276667,260,3143,3403
2011-12-20,2,workday,0.385833,216,3534,3750
2011-12-21,3,workday,0.428333,107,2553,2660
2011-12-22,4,workday,0.423333,227,2841,3068
2011-12-23,5,workday,0.373333,163,2046,2209
2011-12-24,6,weekend,0.3025,155,856,1011
2011-12-25,0,weekend,0.274783,303,451,754
2011-12-26,1,weekend,0.321739,430,887,1317
2011-12-27,2,workday,0.325,103,1059,1162
2011-12-28,3,workday,0.29913,255,2047,2302
2011-12-29,4,workday,0.248333,254,2169,2423
2011-12-30,5,workday,0.311667,491,2508,2999
2011-12-31,6,weekend,0.41,665,1820,2485
2012-01-01,0,weekend,0.37,686,1608,2294
2012-01-02,1,weekend,0.273043,244,1707,1951
2012-01-03,2,workday,0.15,89,2147,2236
2012-01-04,3,workday,0.1075,95,2273,2368
2012-01-05,4,workday,0.265833,140,3132,3272
2012-01-06,5,workday,0.334167,307,3791,4098
2012-01-07,6,weekend,0.393333,1070,3451,4521
2012-01-08,0,weekend,0.3375,599,2826,3425
2012-01-09,1,workday,0.224167,106,2270,2376
2012-01-10,2,workday,0.308696,173,3425,3598
2012-01-11,3,workday,0.274167,92,2085,2177
2012-01-12,4,workday,0.3825,269,3828,4097
2012-01-13,5,workday,0.274167,174,3040,3214
2012-01-14,6,weekend,0.18,333,2160,2493
2012-01-15,0,weekend,0.166667,284,2027,2311
2012-01-16,1,weekend,0.19,217,2081,2298
2012-01-17,2,workday,0.373043,127,2808,2935
2012-01-18,3,workday,0.303333,109,3267,3376
2012-01-19,4,workday,0.19,130,3162,3292
2012-01-20,5,workday,0.2175,115,3048,3163
2012-01-21,6,weekend,0.173333,67,1234,1301
2012-01-22,0,weekend,0.1625,196,1781,1977
2012-01-23,1,workday,0.218333,145,2287,2432
2012-01-24,2,workday,0.3425,439,3900,4339
2012-01-25,3,workday,0.294167,467,3803,4270
2012-01-26,4,workday,0.341667,244,3831,4075
2012-01-27,5,workday,0.425,269,3187,3456
2012-01-28,6,weekend,0.315833,775,3248,4023
2012-01-29,0,weekend,0.2825,558,2685,3243
2012-01-30,1,workday,0.269167,126,3498,3624
2012-01-31,2,workday,0.39,324,4185,4509
2012-02-01,3,workday,0.469167,304,4275,4579
2012-02-02,4,workday,0.399167,190,3571,3761
2012-02-03,5,workday,0.313333,310,3841,4151
2012-02-04,6,weekend,0.264167,384,2448,2832
2012-02-05,0,weekend,0.265833,318,2629,2947
2012-02-06,1,workday,0.282609,206,3578,3784
2012-02-07,2,workday,0.354167,199,4176,4375
2012-02-08,3,workday,0.256667,109,2693,2802
2012-02-09,4,workday,0.265,163,3667,3830
2012-02-10,5,workday,0.280833,227,3604,3831
2012-02-11,6,weekend,0.224167,192,1977,2169
2012-02-12,0,weekend,0.1275,73,1456,1529
2012-02-13,1,workday,0.2225,94,3328,3422
2012-02-14,2,workday,0.319167,135,3787,3922
2012-02-15,3,workday,0.348333,141,4028,4169
2012-02-16,4,workday,0.316667,74,2931,3005
2012-02-17,5,workday,0.343333,349,3805,4154
2012-02-18,6,weekend,0.346667,1435,2883,4318
2012-02-19,0,weekend,0.28,618,2071,2689
2012-02-20,1,weekend,0.28,502,2627,3129
2012-02-21,2,workday,0.287826,163,3614,3777
2012-02-22,3,workday,0.395833,394,4379,4773
2012-02-23,4,workday,0.454167,516,4546,5062
2012-02-24,5,workday,0.4075,246,3241,3487
2012-02-25,6,weekend,0.290833,317,2415,2732
2012-02-26,0,weekend,0.279167,515,2874,3389
2012-02-27,1,workday,0.366667,253,4069,4322
2012-02-28,2,workday,0.359167,229,4134,4363
2012-02-29,3,workday,0.344348,65,1769,1834
2012-03-01,4,workday,0.485833,325,4665,4990
2012-03-02,5,workday,0.353333,246,2948,3194
2012-03-03,6,weekend,0.414167,956,3110,4066
2012-03-04,0,weekend,0.325833,710,2713,3423
2012-03-05,1,workday,0.243333,203,3130,3333
2012-03-06,2,workday,0.258333,221,3735,3956
2012-03-07,3,workday,0.404167,432,4484,4916
2012-03-08,4,workday,0.5275,486,4896,5382
2012-03-09,5,workday,0.410833,447,4122,4569
2012-03-10,6,weekend,0.2875,968,3150,4118
2012-03-11,0,weekend,0.361739,1658,3253,4911
2012-03-12,1,workday,0.466667,838,4460,5298
2012-03-13,2,workday,0.565,762,5085,5847
2012-03-14,3,workday,0.5725,997,5315,6312
2012-03-15,4,workday,0.5575,1005,5187,6192
2012-03-16,5,workday,0.435833,548,3830,4378
2012-03-17,6,weekend,0.514167,3155,4681,7836
2012-03-18,0,weekend,0.4725,2207,3685,5892
2012-03-19,1,workday,0.545,982,5171,6153
2012-03-20,2,workday,0.560833,1051,5042,6093
2012-03-21,3,workday,0.531667,1122,5108,6230
2012-03-22,4,workday,0.554167,1334,5537,6871
2012-03-23,5,workday,0.601667,2469,5893,8362
2012-03-24,6,weekend,0.5025,1033,2339,3372
2012-03-25,0,weekend,0.4375,1532,3464,4996
2012-03-26,1,workday,0.445833,795,4763,5558
2012-03-27,2,workday,0.323333,531,4571,5102
2012-03-28,3,workday,0.484167,674,5024,5698
2012-03-29,4,workday,0.494167,834,5299,6133
2012-03-30,5,workday,0.37,796,4663,5459
2012-03-31,6,weekend,0.424167,2301,3934,6235
2012-04-01,0,weekend,0.425833,2347,3694,6041
2012-04-02,1,workday,0.433913,1208,4728,5936
2012-04-03,2,workday,0.466667,1348,5424,6772
2012-04-04,3,workday,0.541667,1058,5378,6436
2012-04-05,4,workday,0.435,1192,5265,6457
2012-04-06,5,workday,0.403333,1807,4653,6460
2012-04-07,6,weekend,0.4375,3252,3605,6857
2012-04-08,0,weekend,0.5,2230,2939,5169
2012-04-09,1,workday,0.489167,905,4680,5585
2012-04-10,2,workday,0.446667,819,5099,5918
2012-04-11,3,workday,0.348696,482,4380,4862
2012-04-12,4,workday,0.3975,663,4746,5409
2012-04-13,5,workday,0.4425,1252,5146,6398
2012-04-14,6,weekend,0.495,2795,4665,7460
2012-04-15,0,weekend,0.606667,2846,4286,7132
2012-04-16,1,weekend,0.664167,1198,5172,6370
2012-04-17,2,workday,0.608333,989,5702,6691
2012-04-18,3,workday,0.463333,347,4020,4367
2012-04-19,4,workday,0.498333,846,5719,6565
2012-04-20,5,workday,0.526667,1340,5950,7290
2012-04-21,6,weekend,0.57,2541,4083,6624
2012-04-22,0,weekend,0.396667,120,907,1027
2012-04-23,1,workday,0.321667,195,3019,3214
2012-04-24,2,workday,0.413333,518,5115,5633
2012-04-25,3,workday,0.476667,655,5541,6196
2012-04-26,4,workday,0.498333,475,4551,5026
2012-04-27,5,workday,0.4575,1014,5219,6233
2012-04-28,6,weekend,0.376667,1120,3100,4220
2012-04-29,0,weekend,0.458333,2229,4075,6304
2012-04-30,1,workday,0.464167,665,4907,5572
2012-05-01,2,workday,0.613333,653,5087,5740
2012-05-02,3,workday,0.564167,667,5502,6169
2012-05-03,4,workday,0.56,764,5657,6421
2012-05-04,5,workday,0.6275,1069,5227,6296
2012-05-05,6,weekend,0.621667,2496,4387,6883
2012-05-06,0,weekend,0.5625,2135,4224,6359
2012-05-07,1,workday,0.5375,1008,5265,6273
2012-05-08,2,workday,0.581667,738,4990,5728
2012-05-09,3,workday,0.575,620,4097,4717
2012-05-10,4,workday,0.505833,1026,5546,6572
2012-05-11,5,workday,0.533333,1319,5711,7030
2012-05-12,6,weekend,0.564167,2622,4807,7429
2012-05-13,0,weekend,0.6125,2172,3946,6118
2012-05-14,1,workday,0.573333,342,2501,2843
2012-05-15,2,workday,0.611667,625,4490,5115
2012-05-16,3,workday,0.636667,991,6433,7424
2012-05-17,4,workday,0.593333,1242,6142,7384
2012-05-18,5,workday,0.564167,1521,6118,7639
2012-05-19,6,weekend,0.6,3410,4884,8294
2012-05-20,0,weekend,0.620833,2704,4425,7129
2012-05-21,1,workday,0.598333,630,3729,4359
2012-05-22,2,workday,0.615,819,5254,6073
2012-05-23,3,workday,0.621667,766,4494,5260
2012-05-24,4,workday,0.655,1059,5711,6770
2012-05-25,5,workday,0.68,1417,5317,6734
2012-05-26,6,weekend,0.6925,2855,3681,6536
2012-05-27,0,weekend,0.69,3283,3308,6591
2012-05-28,1,weekend,0.7125,2557,3486,6043
2012-05-29,2,workday,0.7225,880,4863,5743
2012-05-30,3,workday,0.656667,745,6110,6855
2012-05-31,4,workday,0.68,1100,6238,7338
2012-06-01,5,workday,0.654167,533,3594,4127
2012-06-02,6,weekend,0.583333,2795,5325,8120
2012-06-03,0,weekend,0.6025,2494,5147,7641
2012-06-04,1,workday,0.5975,1071,5927,6998
2012-06-05,2,workday,0.540833,968,6033,7001
2012-06-06,3,workday,0.554167,1027,6028,7055
2012-06-07,4,workday,0.6025,1038,6456,7494
2012-06-08,5,workday,0.649167,1488,6248,7736
2012-06-09,6,weekend,0.710833,2708,4790,7498
2012-06-10,0,weekend,0.726667,2224,4374,6598
2012-06-11,1,workday,0.720833,1017,5647,6664
2012-06-12,2,workday,0.653333,477,4495,4972
2012-06-13,3,workday,0.655833,1173,6248,7421
2012-06-14,4,workday,0.648333,1180,6183,7363
2012-06-15,5,workday,0.639167,1563,6102,7665
2012-06-16,6,weekend,0.631667,2963,4739,7702
2012-06-17,0,weekend,0.5925,2634,4344,6978
2012-06-18,1,workday,0.568333,653,4446,5099
2012-06-19,2,workday,0.688333,968,5857,6825
2012-06-20,3,workday,0.7825,872,5339,6211
2012-06-21,4,workday,0.805833,778,5127,5905
2012-06-22,5,workday,0.7775,964,4859,5823
2012-06-23,6,weekend,0.731667,2657,4801,7458
2012-06-24,0,weekend,0.743333,2551,4340,6891
2012-06-25,1,workday,0.715833,1139,5640,6779
2012-06-26,2,workday,0.630833,1077,6365,7442
2012-06-27,3,workday,0.6975,1077,6258,7335
2012-06-28,4,workday,0.749167,921,5958,6879
2012-06-29,5,workday,0.834167,829,4634,5463
2012-06-30,6,weekend,0.765,1455,4232,5687
2012-07-01,0,weekend,0.815833,1421,4110,5531
2012-07-02,1,workday,0.781667,904,5323,6227
2012-07-03,2,workday,0.780833,1052,5608,6660
